stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
2;4;47;130;134;1469;533;-1605;0x5bd;0x215;0xf9bb;-1072;400;0xfbd0;0x190
2;4;47;131;135;1469;-1394;1499;0x5bd;0xfa8e;0x5db;105;639;0x69;0x27f
2;4;46;136;140;126;220;1257;0x7e;0xdc;0x4e9;1477;621;0x5c5;0x26d
2;4;46;137;141;126;781;540;0x7e;0x30d;0x21c;1321;1464;0x529;0x5b8
2;4;46;138;142;126;605;1262;0x7e;0x25d;0x4ee;-1462;-1629;0xfa4a;0xf9a3
2;4;46;139;143;126;-1013;1113;0x7e;0xfc0b;0x459;100;-27;0x64;0xffe5
2;4;45;144;148;-1162;-479;964;0xfb76;0xfe21;0x3c4;485;1013;0x1e5;0x3f5
2;4;45;145;149;-1162;772;-937;0xfb76;0x304;0xfc57;-165;196;0xff5b;0xc4
2;4;45;146;150;-1162;-101;-1182;0xfb76;0xff9b;0xfb62;-1283;946;0xfafd;0x3b2
2;4;45;147;151;-1162;-989;-752;0xfb76;0xfc23;0xfd10;1588;1163;0x634;0x48b
2;4;44;152;156;-1618;-94;-840;0xf9ae;0xffa2;0xfcb8;-934;-72;0xfc5a;0xffb8
2;4;44;153;157;-1618;320;-382;0xf9ae;0x140;0xfe82;-62;-514;0xffc2;0xfdfe
2;4;44;154;158;-1618;1075;679;0xf9ae;0x433;0x2a7;-1575;649;0xf9d9;0x289
2;4;44;155;159;-1618;-587;-1594;0xf9ae;0xfdb5;0xf9c6;1148;1188;0x47c;0x4a4
2;4;43;160;164;-666;1450;-1435;0xfd66;0x5aa;0xfa65;15;972;0xf;0x3cc
2;4;43;161;165;-666;821;-320;0xfd66;0x335;0xfec0;501;1281;0x1f5;0x501
2;4;43;162;166;-666;-1091;871;0xfd66;0xfbbd;0x367;-220;1596;0xff24;0x63c
2;4;43;163;167;-666;-1044;-1330;0xfd66;0xfbec;0xface;955;-986;0x3bb;0xfc26
2;4;42;168;172;-320;430;-1328;0xfec0;0x1ae;0xfad0;-898;-271;0xfc7e;0xfef1
2;4;42;169;173;-320;-908;-1186;0xfec0;0xfc74;0xfb5e;1235;476;0x4d3;0x1dc
2;4;42;170;174;-320;1596;-490;0xfec0;0x63c;0xfe16;1106;1057;0x452;0x421
2;4;42;171;175;-320;-813;-900;0xfec0;0xfcd3;0xfc7c;1616;1083;0x650;0x43b
2;4;41;176;180;-8;-18;278;0xfff8;0xffee;0x116;260;-712;0x104;0xfd38
2;4;41;177;181;-8;739;1264;0xfff8;0x2e3;0x4f0;-1326;-723;0xfad2;0xfd2d
2;4;41;178;182;-8;-970;1147;0xfff8;0xfc36;0x47b;177;756;0xb1;0x2f4
2;4;41;179;183;-8;684;-368;0xfff8;0x2ac;0xfe90;316;821;0x13c;0x335
2;4;40;184;188;516;729;1018;0x204;0x2d9;0x3fa;-1582;1426;0xf9d2;0x592
2;4;40;185;189;516;54;250;0x204;0x36;0xfa;304;898;0x130;0x382
2;4;40;186;190;516;-1006;76;0x204;0xfc12;0x4c;-930;881;0xfc5e;0x371
2;4;40;187;191;516;-402;-1368;0x204;0xfe6e;0xfaa8;1559;1281;0x617;0x501
2;4;39;192;196;-1544;1069;-429;0xf9f8;0x42d;0xfe53;640;935;0x280;0x3a7
2;4;39;193;197;-1544;101;1415;0xf9f8;0x65;0x587;1516;451;0x5ec;0x1c3
2;4;39;194;198;-1544;1199;1518;0xf9f8;0x4af;0x5ee;-612;-268;0xfd9c;0xfef4
2;4;39;195;199;-1544;-1496;1229;0xf9f8;0xfa28;0x4cd;-267;497;0xfef5;0x1f1
2;4;38;200;204;-282;1495;1000;0xfee6;0x5d7;0x3e8;-834;1416;0xfcbe;0x588
2;4;38;201;205;-282;-1456;-708;0xfee6;0xfa50;0xfd3c;1165;-1252;0x48d;0xfb1c
2;4;38;202;206;-282;1124;1122;0xfee6;0x464;0x462;-1083;-1225;0xfbc5;0xfb37
2;4;38;203;207;-282;113;-439;0xfee6;0x71;0xfe49;-326;1458;0xfeba;0x5b2
2;4;37;208;212;1491;-939;-1066;0x5d3;0xfc55;0xfbd6;1324;344;0x52c;0x158
2;4;37;209;213;1491;-159;-185;0x5d3;0xff61;0xff47;-344;18;0xfea8;0x12
2;4;37;210;214;1491;1306;759;0x5d3;0x51a;0x2f7;-1264;1403;0xfb10;0x57b
2;4;37;211;215;1491;-1132;903;0x5d3;0xfb94;0x387;-229;1408;0xff1b;0x580
2;4;36;216;220;-1293;-461;-556;0xfaf3;0xfe33;0xfdd4;-1017;-529;0xfc07;0xfdef
2;4;36;217;221;-1293;1511;1625;0xfaf3;0x5e7;0x659;-193;-31;0xff3f;0xffe1
2;4;36;218;222;-1293;-509;751;0xfaf3;0xfe03;0x2ef;242;183;0xf2;0xb7
2;4;36;219;223;-1293;-455;410;0xfaf3;0xfe39;0x19a;-45;86;0xffd3;0x56
2;4;35;224;228;1015;-498;113;0x3f7;0xfe0e;0x71;-385;978;0xfe7f;0x3d2
2;4;35;225;229;1015;-1001;-663;0x3f7;0xfc17;0xfd69;-1664;966;0xf980;0x3c6
2;4;35;226;230;1015;135;-565;0x3f7;0x87;0xfdcb;-430;-799;0xfe52;0xfce1
2;4;35;227;231;1015;1062;423;0x3f7;0x426;0x1a7;1485;-211;0x5cd;0xff2d
2;4;34;232;236;-552;1514;-1476;0xfdd8;0x5ea;0xfa3c;38;868;0x26;0x364
2;4;34;233;237;-552;952;528;0xfdd8;0x3b8;0x210;1480;-1066;0x5c8;0xfbd6
2;4;34;234;238;-552;-1472;900;0xfdd8;0xfa40;0x384;-572;-506;0xfdc4;0xfe06
2;4;34;235;239;-552;-1228;1435;0xfdd8;0xfb34;0x59b;207;681;0xcf;0x2a9
2;4;33;240;244;652;-1357;844;0x28c;0xfab3;0x34c;-513;-520;0xfdff;0xfdf8
2;4;33;241;245;652;397;-1313;0x28c;0x18d;0xfadf;-916;-80;0xfc6c;0xffb0
2;4;33;242;246;652;-1475;905;0x28c;0xfa3d;0x389;-570;-1193;0xfdc6;0xfb57
2;4;33;243;247;652;1152;-802;0x28c;0x480;0xfcde;350;-948;0x15e;0xfc4c
2;4;32;248;252;1223;-1653;1120;0x4c7;0xf98b;0x460;-533;-892;0xfdeb;0xfc84
2;4;32;249;253;1223;464;1142;0x4c7;0x1d0;0x476;1606;-469;0x646;0xfe2b
2;4;32;250;254;1223;1150;-790;0x4c7;0x47e;0xfcea;360;-1388;0x168;0xfa94
2;4;32;251;255;1223;-82;1635;0x4c7;0xffae;0x663;1553;192;0x611;0xc0
3;8;31;0;8;-1571;955;515;0xf9dd;0x3bb;0x203;1470;1621;0x5be;0x655
3;8;31;1;9;-1571;720;-1523;0xf9dd;0x2d0;0xfa0d;-803;-566;0xfcdd;0xfdca
3;8;31;2;10;-1571;-616;867;0xf9dd;0xfd98;0x363;251;-871;0xfb;0xfc99
3;8;31;3;11;-1571;1447;-1164;0xf9dd;0x5a7;0xfb74;283;245;0x11b;0xf5
3;8;31;4;12;-1571;-881;-467;0xf9dd;0xfc8f;0xfe2d;-1348;336;0xfabc;0x150
3;8;31;5;13;-1571;-512;-38;0xf9dd;0xfe00;0xffda;-550;-339;0xfdda;0xfead
3;8;31;6;14;-1571;806;-452;0xf9dd;0x326;0xfe3c;354;-828;0x162;0xfcc4
3;8;31;7;15;-1571;-775;-1582;0xf9dd;0xfcf9;0xf9d2;972;-76;0x3cc;0xffb4
3;8;30;16;24;-205;-244;1524;0xff33;0xff0c;0x5f4;1280;1240;0x500;0x4d8
3;8;30;17;25;-205;140;954;0xff33;0x8c;0x3ba;1094;-1071;0x446;0xfbd1
3;8;30;18;26;-205;-1597;-969;0xff33;0xf9c3;0xfc37;763;1284;0x2fb;0x504
3;8;30;19;27;-205;-801;1329;0xff33;0xfcdf;0x531;528;93;0x210;0x5d
3;8;30;20;28;-205;1660;-1054;0xff33;0x67c;0xfbe2;606;-1075;0x25e;0xfbcd
3;8;30;21;29;-205;-532;-1264;0xff33;0xfdec;0xfb10;1533;-182;0x5fd;0xff4a
3;8;30;22;30;-205;-1110;-1044;0xff33;0xfbaa;0xfbec;1175;453;0x497;0x1c5
3;8;30;23;31;-205;1008;1484;0xff33;0x3f0;0x5cc;-837;846;0xfcbb;0x34e
3;8;29;32;40;411;1240;-1250;0x19b;0x4d8;0xfb1e;-10;-1373;0xfff6;0xfaa3
3;8;29;33;41;411;-1216;697;0x19b;0xfb40;0x2b9;-519;1361;0xfdf9;0x551
3;8;29;34;42;411;-995;-1056;0x19b;0xfc1d;0xfbe0;1278;818;0x4fe;0x332
3;8;29;35;43;411;-813;724;0x19b;0xfcd3;0x2d4;-89;782;0xffa7;0x30e
3;8;29;36;44;411;1495;89;0x19b;0x5d7;0x59;1584;190;0x630;0xbe
3;8;29;37;45;411;1129;1616;0x19b;0x469;0x650;-584;564;0xfdb8;0x234
3;8;29;38;46;411;1463;-353;0x19b;0x5b7;0xfe9f;1110;1595;0x456;0x63b
3;8;29;39;47;411;-327;502;0x19b;0xfeb9;0x1f6;175;-202;0xaf;0xff36
3;8;28;48;56;-1542;1366;-112;0xf9fa;0x556;0xff90;1254;-1456;0x4e6;0xfa50
3;8;28;49;57;-1542;295;-746;0xf9fa;0x127;0xfd16;-451;-1021;0xfe3d;0xfc03
3;8;28;50;58;-1542;335;687;0xf9fa;0x14f;0x2af;1022;99;0x3fe;0x63
3;8;28;51;59;-1542;1518;-896;0xf9fa;0x5ee;0xfc80;622;-887;0x26e;0xfc89
3;8;28;52;60;-1542;-79;453;0xf9fa;0xffb1;0x1c5;374;1398;0x176;0x576
3;8;28;53;61;-1542;52;269;0xf9fa;0x34;0x10d;321;-43;0x141;0xffd5
