stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
4;16;15;10;26;1468;-871;1284;0x5bc;0xfc99;0x504;413;860;0x19d;0x35c
4;16;15;11;27;1468;245;93;0x5bc;0xf5;0x5d;338;928;0x152;0x3a0
4;16;15;12;28;1468;336;-1075;0x5bc;0x150;0xfbcd;-739;-146;0xfd1d;0xff6e
4;16;15;13;29;1468;-339;-182;0x5bc;0xfead;0xff4a;-521;1144;0xfdf7;0x478
4;16;15;14;30;1468;-828;453;0x5bc;0xfcc4;0x1c5;-375;-462;0xfe89;0xfe32
4;16;15;15;31;1468;-76;846;0x5bc;0xffb4;0x34e;770;-1424;0x302;0xfa70
4;16;14;32;48;-1474;-10;1254;0xfa3e;0xfff6;0x4e6;1244;152;0x4dc;0x98
4;16;14;33;49;-1474;-519;-451;0xfa3e;0xfdf9;0xfe3d;-970;-1256;0xfc36;0xfb18
4;16;14;34;50;-1474;1278;1022;0xfa3e;0x4fe;0x3fe;-1029;812;0xfbfb;0x32c
4;16;14;35;51;-1474;-89;622;0xfa3e;0xffa7;0x26e;533;-1579;0x215;0xf9d5
4;16;14;36;52;-1474;1584;374;0xfa3e;0x630;0x176;-1371;613;0xfaa5;0x265
4;16;14;37;53;-1474;-584;321;0xfa3e;0xfdb8;0x141;-263;-1050;0xfef9;0xfbe6
4;16;14;38;54;-1474;1110;-12;0xfa3e;0x456;0xfff4;1098;750;0x44a;0x2ee
4;16;14;39;55;-1474;175;-823;0xfa3e;0xaf;0xfcc9;-648;1397;0xfd78;0x575
4;16;14;40;56;-1474;-1373;-1456;0xfa3e;0xfaa3;0xfa50;500;-621;0x1f4;0xfd93
4;16;14;41;57;-1474;1361;-1021;0xfa3e;0x551;0xfc03;340;-455;0x154;0xfe39
4;16;14;42;58;-1474;818;99;0xfa3e;0x332;0x63;917;356;0x395;0x164
4;16;14;43;59;-1474;782;-887;0xfa3e;0x30e;0xfc89;-105;-896;0xff97;0xfc80
4;16;14;44;60;-1474;190;1398;0xfa3e;0xbe;0x576;1588;1578;0x634;0x62a
4;16;14;45;61;-1474;564;-43;0xfa3e;0x234;0xffd5;521;833;0x209;0x341
4;16;14;46;62;-1474;1595;-1188;0xfa3e;0x63b;0xfb5c;407;1077;0x197;0x435
4;16;14;47;63;-1474;-202;-665;0xfa3e;0xff36;0xfd67;-867;-456;0xfc9d;0xfe38
4;16;13;64;80;-1202;-974;-1507;0xfb4e;0xfc32;0xfa1d;848;158;0x350;0x9e
4;16;13;65;81;-1202;-1322;46;0xfb4e;0xfad6;0x2e;-1276;-1180;0xfb04;0xfb64
4;16;13;66;82;-1202;358;-889;0xfb4e;0x166;0xfc87;-531;-511;0xfded;0xfe01
4;16;13;67;83;-1202;1247;831;0xfb4e;0x4df;0x33f;-1251;-1257;0xfb1d;0xfb17
4;16;13;68;84;-1202;905;449;0xfb4e;0x389;0x1c1;1354;1503;0x54a;0x5df
4;16;13;69;85;-1202;23;-1602;0xfb4e;0x17;0xf9be;-1579;-1061;0xf9d5;0xfbdb
4;16;13;70;86;-1202;416;1640;0xfb4e;0x1a0;0x668;-1273;-1231;0xfb07;0xfb31
4;16;13;71;87;-1202;472;382;0xfb4e;0x1d8;0x17e;854;-448;0x356;0xfe40
4;16;13;72;88;-1202;16;-753;0xfb4e;0x10;0xfd0f;-737;-203;0xfd1f;0xff35
4;16;13;73;89;-1202;-1441;-825;0xfb4e;0xfa5f;0xfcc7;1063;773;0x427;0x305
4;16;13;74;90;-1202;652;1621;0xfb4e;0x28c;0x655;-1056;-281;0xfbe0;0xfee7
4;16;13;75;91;-1202;-530;-1431;0xfb4e;0xfdee;0xfa69;1368;-1082;0x558;0xfbc6
4;16;13;76;92;-1202;85;1079;0xfb4e;0x55;0x437;1164;1323;0x48c;0x52b
4;16;13;77;93;-1202;592;254;0xfb4e;0x250;0xfe;846;19;0x34e;0x13
4;16;13;78;94;-1202;799;-531;0xfb4e;0x31f;0xfded;268;-1442;0x10c;0xfa5e
4;16;13;79;95;-1202;-1280;376;0xfb4e;0xfb00;0x178;-904;-1078;0xfc78;0xfbca
4;16;12;96;112;962;-111;-1402;0x3c2;0xff91;0xfa86;-1513;-1406;0xfa17;0xfa82
4;16;12;97;113;962;-547;-955;0x3c2;0xfddd;0xfc45;-1502;-1499;0xfa22;0xfa25
4;16;12;98;114;962;-1612;1359;0x3c2;0xf9b4;0x54f;-253;1312;0xff03;0x520
4;16;12;99;115;962;-48;83;0x3c2;0xffd0;0x53;35;-1224;0x23;0xfb38
4;16;12;100;116;962;-342;973;0x3c2;0xfeaa;0x3cd;631;-1639;0x277;0xf999
4;16;12;101;117;962;-768;-1031;0x3c2;0xfd00;0xfbf9;1530;-338;0x5fa;0xfeae
4;16;12;102;118;962;-22;1262;0x3c2;0xffea;0x4ee;1240;-1451;0x4d8;0xfa55
4;16;12;103;119;962;896;297;0x3c2;0x380;0x129;1193;-985;0x4a9;0xfc27
4;16;12;104;120;962;-879;1648;0x3c2;0xfc91;0x670;769;-613;0x301;0xfd9b
4;16;12;105;121;962;-1288;-1072;0x3c2;0xfaf8;0xfbd0;969;-773;0x3c9;0xfcfb
4;16;12;106;122;962;705;-979;0x3c2;0x2c1;0xfc2d;-274;-1063;0xfeee;0xfbd9
4;16;12;107;123;962;835;-1509;0x3c2;0x343;0xfa1b;-674;1114;0xfd5e;0x45a
4;16;12;108;124;962;-742;327;0x3c2;0xfd1a;0x147;-415;-1221;0xfe61;0xfb3b
4;16;12;109;125;962;-1326;480;0x3c2;0xfad2;0x1e0;-846;1397;0xfcb2;0x575
4;16;12;110;126;962;1535;1558;0x3c2;0x5ff;0x616;-236;827;0xff14;0x33b
4;16;12;111;127;962;848;-710;0x3c2;0x350;0xfd3a;138;428;0x8a;0x1ac
4;16;11;128;144;182;605;-449;0xb6;0x25d;0xfe3f;156;-1130;0x9c;0xfb96
4;16;11;129;145;182;64;-227;0xb6;0x40;0xff1d;-163;1103;0xff5d;0x44f
4;16;11;130;146;182;795;471;0xb6;0x31b;0x1d7;1266;1434;0x4f2;0x59a
4;16;11;131;147;182;205;-593;0xb6;0xcd;0xfdaf;-388;-167;0xfe7c;0xff59
4;16;11;132;148;182;1574;941;0xb6;0x626;0x3ad;-814;1507;0xfcd2;0x5e3
4;16;11;133;149;182;-1078;-318;0xb6;0xfbca;0xfec2;-1396;-158;0xfa8c;0xff62
4;16;11;134;150;182;-1229;1595;0xb6;0xfb33;0x63b;366;324;0x16e;0x144
4;16;11;135;151;182;612;-978;0xb6;0x264;0xfc2e;-366;1119;0xfe92;0x45f
4;16;11;136;152;182;-1372;635;0xb6;0xfaa4;0x27b;-737;1659;0xfd1f;0x67b
4;16;11;137;153;182;946;1019;0xb6;0x3b2;0x3fb;-1364;1588;0xfaac;0x634
4;16;11;138;154;182;-546;-1596;0xb6;0xfdde;0xf9c4;1187;-1271;0x4a3;0xfb09
4;16;11;139;155;182;-7;-216;0xb6;0xfff9;0xff28;-223;-123;0xff21;0xff85
4;16;11;140;156;182;201;-230;0xb6;0xc9;0xff1a;-29;-620;0xffe3;0xfd94
4;16;11;141;157;182;282;862;0xb6;0x11a;0x35e;1144;-471;0x478;0xfe29
4;16;11;142;158;182;-1509;520;0xb6;0xfa1b;0x208;-989;-781;0xfc23;0xfcf3
4;16;11;143;159;182;1065;-593;0xb6;0x429;0xfdaf;472;187;0x1d8;0xbb
4;16;10;160;176;1577;-883;-1322;0x629;0xfc8d;0xfad6;1124;-1502;0x464;0xfa22
4;16;10;161;177;1577;-1593;-1022;0x629;0xf9c7;0xfc02;714;346;0x2ca;0x15a
4;16;10;162;178;1577;886;-753;0x629;0x376;0xfd0f;133;-72;0x85;0xffb8
4;16;10;163;179;1577;-758;-1454;0x629;0xfd0a;0xfa52;1117;-1168;0x45d;0xfb70
4;16;10;164;180;1577;701;714;0x629;0x2bd;0x2ca;1415;-820;0x587;0xfccc
4;16;10;165;181;1577;-1572;175;0x629;0xf9dc;0xaf;-1397;942;0xfa8b;0x3ae
4;16;10;166;182;1577;-676;1637;0x629;0xfd5c;0x665;961;323;0x3c1;0x143
4;16;10;167;183;1577;97;-1227;0x629;0x61;0xfb35;-1130;801;0xfb96;0x321
4;16;10;168;184;1577;-1193;-1367;0x629;0xfb57;0xfaa9;769;-292;0x301;0xfedc
4;16;10;169;185;1577;1156;1441;0x629;0x484;0x5a1;-732;-1588;0xfd24;0xf9cc
4;16;10;170;186;1577;1018;355;0x629;0x3fa;0x163;1373;-1457;0x55d;0xfa4f
4;16;10;171;187;1577;397;1105;0x629;0x18d;0x451;1502;155;0x5de;0x9b
4;16;10;172;188;1577;301;824;0x629;0x12d;0x338;1125;1069;0x465;0x42d
4;16;10;173;189;1577;1526;659;0x629;0x5f6;0x293;-1144;-881;0xfb88;0xfc8f
4;16;10;174;190;1577;-223;1244;0x629;0xff21;0x4dc;1021;166;0x3fd;0xa6
4;16;10;175;191;1577;-651;-349;0x629;0xfd75;0xfea3;-1000;-1636;0xfc18;0xf99c
4;16;9;192;208;622;-194;307;0x26e;0xff3e;0x133;113;-662;0x71;0xfd6a
4;16;9;193;209;622;-648;-537;0x26e;0xfd78;0xfde7;-1185;-47;0xfb5f;0xffd1
4;16;9;194;210;622;1634;-1022;0x26e;0x662;0xfc02;612;-165;0x264;0xff5b
4;16;9;195;211;622;-593;-274;0x26e;0xfdaf;0xfeee;-867;-375;0xfc9d;0xfe89
4;16;9;196;212;622;-978;-185;0x26e;0xfc2e;0xff47;-1163;414;0xfb75;0x19e
4;16;9;197;213;622;-801;-13;0x26e;0xfcdf;0xfff3;-814;806;0xfcd2;0x326
4;16;9;198;214;622;-1493;1586;0x26e;0xfa2b;0x632;93;-374;0x5d;0xfe8a
4;16;9;199;215;622;-1374;1494;0x26e;0xfaa2;0x5d6;120;855;0x78;0x357
4;16;9;200;216;622;1542;1319;0x26e;0x606;0x527;-468;1504;0xfe2c;0x5e0
4;16;9;201;217;622;1248;-880;0x26e;0x4e0;0xfc90;368;1051;0x170;0x41b
4;16;9;202;218;622;565;-840;0x26e;0x235;0xfcb8;-275;295;0xfeed;0x127
4;16;9;203;219;622;-530;30;0x26e;0xfdee;0x1e;-500;-627;0xfe0c;0xfd8d
4;16;9;204;220;622;879;-468;0x26e;0x36f;0xfe2c;411;-1589;0x19b;0xf9cb
4;16;9;205;221;622;-233;969;0x26e;0xff17;0x3c9;736;-359;0x2e0;0xfe99
4;16;9;206;222;622;-1036;959;0x26e;0xfbf4;0x3bf;-77;55;0xffb3;0x37
4;16;9;207;223;622;282;870;0x26e;0x11a;0x366;1152;-159;0x480;0xff61
4;16;8;224;240;-171;-347;-1046;0xff55;0xfea5;0xfbea;-1393;29;0xfa8f;0x1d
4;16;8;225;241;-171;-184;690;0xff55;0xff48;0x2b2;506;-603;0x1fa;0xfda5
4;16;8;226;242;-171;-1002;-210;0xff55;0xfc16;0xff2e;-1212;-1133;0xfb44;0xfb93
4;16;8;227;243;-171;-1637;-1426;0xff55;0xf99b;0xfa6e;266;1039;0x10a;0x40f
4;16;8;228;244;-171;-1483;-1412;0xff55;0xfa35;0xfa7c;434;-1165;0x1b2;0xfb73
4;16;8;229;245;-171;-100;-549;0xff55;0xff9c;0xfddb;-649;-791;0xfd77;0xfce9
4;16;8;230;246;-171;-1305;748;0xff55;0xfae7;0x2ec;-557;-209;0xfdd3;0xff2f
4;16;8;231;247;-171;470;-756;0xff55;0x1d6;0xfd0c;-286;-373;0xfee2;0xfe8b
4;16;8;232;248;-171;-238;738;0xff55;0xff12;0x2e2;500;1193;0x1f4;0x4a9
4;16;8;233;249;-171;49;816;0xff55;0x31;0x330;865;-1051;0x361;0xfbe5
4;16;8;234;250;-171;-1258;-1027;0xff55;0xfb16;0xfbfd;1044;-1024;0x414;0xfc00
4;16;8;235;251;-171;-1335;-115;0xff55;0xfac9;0xff8d;-1450;659;0xfa56;0x293
4;16;8;236;252;-171;479;-255;0xff55;0x1df;0xff01;224;-522;0xe0;0xfdf6
4;16;8;237;253;-171;1222;1371;0xff55;0x4c6;0x55b;-736;-1554;0xfd20;0xf9ee
4;16;8;238;254;-171;1236;-1127;0xff55;0x4d4;0xfb99;109;560;0x6d;0x230
4;16;8;239;255;-171;-1100;1211;0xff55;0xfbb4;0x4bb;111;809;0x6f;0x329
5;32;7;0;32;202;-579;1244;0xca;0xfdbd;0x4dc;665;1248;0x299;0x4e0
5;32;7;1;33;202;291;-970;0xca;0x123;0xfc36;-679;-719;0xfd59;0xfd31
5;32;7;2;34;202;1014;-1029;0xca;0x3f6;0xfbfb;-15;-1384;0xfff1;0xfa98
5;32;7;3;35;202;811;533;0xca;0x32b;0x215;1344;615;0x540;0x267
5;32;7;4;36;202;-742;-1371;0xca;0xfd1a;0xfaa5;1216;-752;0x4c0;0xfd10
5;32;7;5;37;202;983;-263;0xca;0x3d7;0xfef9;720;-1315;0x2d0;0xfadd
5;32;7;6;38;202;1529;1098;0xca;0x5f9;0x44a;-702;702;0xfd42;0x2be
5;32;7;7;39;202;135;-648;0xca;0x87;0xfd78;-513;-1513;0xfdff;0xfa17
5;32;7;8;40;202;-468;500;0xca;0xfe2c;0x1f4;32;-1399;0x20;0xfa89
5;32;7;9;41;202;-1637;340;0xca;0xf99b;0x154;-1297;-1320;0xfaef;0xfad8
5;32;7;10;42;202;413;917;0xca;0x19d;0x395;1330;1280;0x532;0x500
5;32;7;11;43;202;338;-105;0xca;0x152;0xff97;233;513;0xe9;0x201
5;32;7;12;44;202;-739;1588;0xca;0xfd1d;0x634;849;-801;0x351;0xfcdf
5;32;7;13;45;202;-521;521;0xca;0xfdf7;0x209;0;1431;0x0;0x597
5;32;7;14;46;202;-375;407;0xca;0xfe89;0x197;32;665;0x20;0x299
5;32;7;15;47;202;770;-867;0xca;0x302;0xfc9d;-97;17;0xff9f;0x11
5;32;7;16;48;202;1160;152;0xca;0x488;0x98;1312;769;0x520;0x301
5;32;7;17;49;202;-193;-1256;0xca;0xff3f;0xfb18;-1449;735;0xfa57;0x2df
5;32;7;18;50;202;-1549;812;0xca;0xf9f3;0x32c;-737;1399;0xfd1f;0x577
5;32;7;19;51;202;1658;-1579;0xca;0x67a;0xf9d5;79;1449;0x4f;0x5a9
5;32;7;20;52;202;-541;613;0xca;0xfde3;0x265;72;-134;0x48;0xff7a
5;32;7;21;53;202;1650;-1050;0xca;0x672;0xfbe6;600;752;0x258;0x2f0
5;32;7;22;54;202;-1333;750;0xca;0xfacb;0x2ee;-583;-1315;0xfdb9;0xfadd
5;32;7;23;55;202;707;1397;0xca;0x2c3;0x575;-1225;-784;0xfb37;0xfcf0
5;32;7;24;56;202;574;-621;0xca;0x23e;0xfd93;-47;-1344;0xffd1;0xfac0
5;32;7;25;57;202;455;-455;0xca;0x1c7;0xfe39;0;648;0x0;0x288
5;32;7;26;58;202;860;356;0xca;0x35c;0x164;1216;-1280;0x4c0;0xfb00
5;32;7;27;59;202;928;-896;0xca;0x3a0;0xfc80;32;1233;0x20;0x4d1
5;32;7;28;60;202;-146;1578;0xca;0xff6e;0x62a;1432;521;0x598;0x209
5;32;7;29;61;202;1144;833;0xca;0x478;0x341;-1352;-737;0xfab8;0xfd1f
5;32;7;30;62;202;-462;1077;0xca;0xfe32;0x435;615;104;0x267;0x68
5;32;7;31;63;202;-1424;-456;0xca;0xfa70;0xfe38;1449;-1399;0x5a9;0xfa89
5;32;6;64;96;287;848;-1513;0x11f;0x350;0xfa17;-665;-1312;0xfd67;0xfae0
5;32;6;65;97;287;-1276;-1502;0x11f;0xfb04;0xfa22;551;719;0x227;0x2cf
5;32;6;66;98;287;-531;-253;0x11f;0xfded;0xff03;-784;1384;0xfcf0;0x568
5;32;6;67;99;287;-1251;35;0x11f;0xfb1d;0x23;-1216;-615;0xfb40;0xfd99
5;32;6;68;100;287;1354;631;0x11f;0x54a;0x277;-1344;17;0xfac0;0x11
5;32;6;69;101;287;-1579;1530;0x11f;0xf9d5;0x5fa;-49;-1215;0xffcf;0xfb41
5;32;6;70;102;287;-1273;1240;0x11f;0xfb07;0x4d8;-33;33;0xffdf;0x21
5;32;6;71;103;287;854;1193;0x11f;0x356;0x4a9;-1282;586;0xfafe;0x24a
5;32;6;72;104;287;-737;769;0x11f;0xfd1f;0x301;32;600;0x20;0x258
5;32;6;73;105;287;1063;969;0x11f;0x427;0x3c9;-1297;1448;0xfaef;0x5a8
5;32;6;74;106;287;-1056;-274;0x11f;0xfbe0;0xfeee;-1330;-1280;0xface;0xfb00
5;32;6;75;107;287;1368;-674;0x11f;0x558;0xfd5e;694;1282;0x2b6;0x502
5;32;6;76;108;287;1164;-415;0x11f;0x48c;0xfe61;749;737;0x2ed;0x2e1
5;32;6;77;109;287;846;-846;0x11f;0x34e;0xfcb2;0;-568;0x0;0xfdc8
5;32;6;78;110;287;268;-236;0x11f;0x10c;0xff14;32;-665;0x20;0xfd67
5;32;6;79;111;287;-904;138;0x11f;0xfc78;0x8a;-766;-752;0xfd02;0xfd10
5;32;6;80;112;287;158;-1406;0x11f;0x9e;0xfa82;-1248;-769;0xfb20;0xfcff
5;32;6;81;113;287;-1180;-1499;0x11f;0xfb64;0xfa25;650;735;0x28a;0x2df
5;32;6;82;114;287;-511;1312;0x11f;0xfe01;0x520;801;-600;0x321;0xfda8
5;32;6;83;115;287;-1257;-1224;0x11f;0xfb17;0xfb38;848;-650;0x350;0xfd76
5;32;6;84;116;287;1503;-1639;0x11f;0x5df;0xf999;-136;-1464;0xff78;0xfa48
5;32;6;85;117;287;-1061;-338;0x11f;0xfbdb;0xfeae;-1399;-17;0xfa89;0xffef
5;32;6;86;118;287;-1231;-1451;0x11f;0xfb31;0xfa55;647;-1215;0x287;0xfb41
5;32;6;87;119;287;-448;-985;0x11f;0xfe40;0xfc27;-1433;-15;0xfa67;0xfff1
5;32;6;88;120;287;-203;-613;0x11f;0xff35;0xfd9b;-816;1216;0xfcd0;0x4c0
5;32;6;89;121;287;773;-773;0x11f;0x305;0xfcfb;0;87;0x0;0x57
5;32;6;90;122;287;-281;-1063;0x11f;0xfee7;0xfbd9;-1344;1280;0xfac0;0x500
5;32;6;91;123;287;-1082;1114;0x11f;0xfbc6;0x45a;32;1233;0x20;0x4d1
5;32;6;92;124;287;1323;-1221;0x11f;0x52b;0xfb3b;102;1082;0x66;0x43a
5;32;6;93;125;287;19;1397;0x11f;0x13;0x575;1416;801;0x588;0x321
5;32;6;94;126;287;-1442;827;0x11f;0xfa5e;0x33b;-615;-104;0xfd99;0xff98
5;32;6;95;127;287;-1078;428;0x11f;0xfbca;0x1ac;-650;600;0xfd76;0x258
5;32;5;128;160;1422;156;1124;0x58e;0x9c;0x464;1280;633;0x500;0x279
5;32;5;129;161;1422;-163;714;0x58e;0xff5d;0x2ca;551;-104;0x227;0xff98
5;32;5;130;162;1422;1266;133;0x58e;0x4f2;0x85;1399;-1384;0x577;0xfa98
5;32;5;131;163;1422;-388;1117;0x58e;0xfe7c;0x45d;729;-615;0x2d9;0xfd99
5;32;5;132;164;1422;-814;1415;0x58e;0xfcd2;0x587;601;-568;0x259;0xfdc8
5;32;5;133;165;1422;-1396;-1397;0x58e;0xfa8c;0xfa8b;536;-630;0x218;0xfd8a
5;32;5;134;166;1422;366;961;0x58e;0x16e;0x3c1;1327;-1327;0x52f;0xfad1
5;32;5;135;167;1422;-366;-1130;0x58e;0xfe92;0xfb96;-1496;1385;0xfa28;0x569
5;32;5;136;168;1422;-737;769;0x58e;0xfd1f;0x301;32;15;0x20;0xf
5;32;5;137;169;1422;-1364;-732;0x58e;0xfaac;0xfd24;1233;-1320;0x4d1;0xfad8
5;32;5;138;170;1422;1187;1373;0x58e;0x4a3;0x55d;-769;665;0xfcff;0x299
5;32;5;139;171;1422;-223;1502;0x58e;0xff21;0x5de;1279;1496;0x4ff;0x5d8
5;32;5;140;172;1422;-29;1125;0x58e;0xffe3;0x465;1096;1298;0x448;0x512
5;32;5;141;173;1422;1144;-1144;0x58e;0x478;0xfb88;0;17;0x0;0x11
5;32;5;142;174;1422;-989;1021;0x58e;0xfc23;0x3fd;32;1280;0x20;0x500
5;32;5;143;175;1422;472;-1000;0x58e;0x1d8;0xfc18;-528;1431;0xfdf0;0x597
5;32;5;144;176;1422;-1130;-1502;0x58e;0xfb96;0xfa22;697;-1330;0x2b9;0xface
5;32;5;145;177;1422;1103;346;0x58e;0x44f;0x15a;1449;-863;0x5a9;0xfca1
5;32;5;146;178;1422;1434;-72;0x58e;0x59a;0xffb8;1362;-15;0x552;0xfff1
5;32;5;147;179;1422;-167;-1168;0x58e;0xff59;0xfb70;-1335;-1449;0xfac9;0xfa57
5;32;5;148;180;1422;1507;-820;0x58e;0x5e3;0xfccc;687;-1250;0x2af;0xfb1e
5;32;5;149;181;1422;-158;942;0x58e;0xff62;0x3ae;784;568;0x310;0x238
5;32;5;150;182;1422;324;323;0x58e;0x144;0x143;647;-630;0x287;0xfd8a
5;32;5;151;183;1422;1119;801;0x58e;0x45f;0x321;-1409;-600;0xfa7f;0xfda8
5;32;5;152;184;1422;1659;-292;0x58e;0x67b;0xfedc;1367;-729;0x557;0xfd27
5;32;5;153;185;1422;1588;-1588;0x58e;0x634;0xf9cc;0;-151;0x0;0xff69
5;32;5;154;186;1422;-1271;-1457;0x58e;0xfb09;0xfa4f;601;-665;0x259;0xfd67
5;32;5;155;187;1422;-123;155;0x58e;0xff85;0x9b;32;-1297;0x20;0xfaef
5;32;5;156;188;1422;-620;1069;0x58e;0xfd94;0x42d;449;-1210;0x1c1;0xfb46
5;32;5;157;189;1422;-471;-881;0x58e;0xfe29;0xfc8f;-1352;1362;0xfab8;0x552
5;32;5;158;190;1422;-781;166;0x58e;0xfcf3;0xa6;-615;719;0xfd99;0x2cf
5;32;5;159;191;1422;187;-1636;0x58e;0xbb;0xf99c;-1449;15;0xfa57;0xf
5;32;4;192;224;1493;113;-1393;0x5d5;0x71;0xfa8f;-1280;-697;0xfb00;0xfd47
5;32;4;193;225;1493;-1185;506;0x5d5;0xfb5f;0x1fa;-679;104;0xfd59;0x68
5;32;4;194;226;1493;612;-1212;0x5d5;0x264;0xfb44;-600;1384;0xfda8;0x568
5;32;4;195;227;1493;-867;266;0x5d5;0xfc9d;0x10a;-601;615;0xfda7;0x267
5;32;4;196;228;1493;-1163;434;0x5d5;0xfb75;0x1b2;-729;1431;0xfd27;0x597
5;32;4;197;229;1493;-814;-649;0x5d5;0xfcd2;0xfd77;-1463;-169;0xfa49;0xff57
5;32;4;198;230;1493;93;-557;0x5d5;0x5d;0xfdd3;-464;464;0xfe30;0x1d0
5;32;4;199;231;1493;120;-286;0x5d5;0x78;0xfee2;-166;-714;0xff5a;0xfd36
5;32;4;200;232;1493;-468;500;0x5d5;0xfe2c;0x1f4;32;784;0x20;0x310
5;32;4;201;233;1493;368;865;0x5d5;0x170;0x361;1233;1448;0x4d1;0x5a8
5;32;4;202;234;1493;-275;1044;0x5d5;0xfeed;0x414;769;-665;0x301;0xfd67
5;32;4;203;235;1493;-500;-1450;0x5d5;0xfe0c;0xfa56;1379;166;0x563;0xa6
5;32;4;204;236;1493;411;224;0x5d5;0x19b;0xe0;635;-1362;0x27b;0xfaae
5;32;4;205;237;1493;736;-736;0x5d5;0x2e0;0xfd20;0;-752;0x0;0xfd10
5;32;4;206;238;1493;-77;109;0x5d5;0xffb3;0x6d;32;-1280;0x20;0xfb00
5;32;4;207;239;1493;1152;111;0x5d5;0x480;0x6f;1263;-568;0x4ef;0xfdc8
5;32;4;208;240;1493;-662;29;0x5d5;0xfd6a;0x1d;-633;1330;0xfd87;0x532
5;32;4;209;241;1493;-47;-603;0x5d5;0xffd1;0xfda5;-650;-863;0xfd76;0xfca1
5;32;4;210;242;1493;-165;-1133;0x5d5;0xff5b;0xfb93;-1298;-784;0xfaee;0xfcf0
5;32;4;211;243;1493;-375;1039;0x5d5;0xfe89;0x40f;664;650;0x298;0x28a
5;32;4;212;244;1493;414;-1165;0x5d5;0x19e;0xfb73;-751;-481;0xfd11;0xfe1f
5;32;4;213;245;1493;806;-791;0x5d5;0x326;0xfce9;15;-1431;0xf;0xfa69
5;32;4;214;246;1493;-374;-209;0x5d5;0xfe8a;0xff2f;-583;-169;0xfdb9;0xff57
5;32;4;215;247;1493;855;-373;0x5d5;0x357;0xfe8b;482;1399;0x1e2;0x577
5;32;4;216;248;1493;1504;1193;0x5d5;0x5e0;0x4a9;-632;601;0xfd88;0x259
5;32;4;217;249;1493;1051;-1051;0x5d5;0x41b;0xfbe5;0;-712;0x0;0xfd38
5;32;4;218;250;1493;295;-1024;0x5d5;0x127;0xfc00;-729;665;0xfd27;0x299
5;32;4;219;251;1493;-627;659;0x5d5;0xfd8d;0x293;32;-1297;0x20;0xfaef
5;32;4;220;252;1493;-1589;-522;0x5d5;0xf9cb;0xfdf6;1218;-649;0x4c2;0xfd77
5;32;4;221;253;1493;-359;-1554;0x5d5;0xfe99;0xf9ee;1416;-1298;0x588;0xfaee
5;32;4;222;254;1493;55;560;0x5d5;0x37;0x230;615;-719;0x267;0xfd31
5;32;4;223;255;1493;-159;809;0x5d5;0xff61;0x329;650;784;0x28a;0x310
6;64;3;0;64;-1517;665;-665;0xfa13;0x299;0xfd67;0;-64;0x0;0xffc0
6;64;3;1;65;-1517;-679;551;0xfa13;0xfd59;0x227;-128;735;0xff80;0x2df
6;64;3;2;66;-1517;-15;-784;0xfa13;0xfff1;0xfcf0;-799;799;0xfce1;0x31f
6;64;3;3;67;-1517;1344;-1216;0xfa13;0x540;0xfb40;128;-799;0x80;0xfce1
6;64;3;4;68;-1517;1216;-1344;0xfa13;0x4c0;0xfac0;-128;-799;0xff80;0xfce1
6;64;3;5;69;-1517;720;-49;0xfa13;0x2d0;0xffcf;671;799;0x29f;0x31f
6;64;3;6;70;-1517;-702;-33;0xfa13;0xfd42;0xffdf;-735;-128;0xfd21;0xff80
6;64;3;7;71;-1517;-513;-1282;0xfa13;0xfdff;0xfafe;1534;799;0x5fe;0x31f
6;64;3;8;72;-1517;32;32;0xfa13;0x20;0x20;64;0;0x40;0x0
6;64;3;9;73;-1517;-1297;-1297;0xfa13;0xfaef;0xfaef;735;0;0x2df;0x0
6;64;3;10;74;-1517;1330;-1330;0xfa13;0x532;0xface;0;-128;0x0;0xff80
6;64;3;11;75;-1517;233;694;0xfa13;0xe9;0x2b6;927;1534;0x39f;0x5fe
6;64;3;12;76;-1517;849;749;0xfa13;0x351;0x2ed;1598;671;0x63e;0x29f
6;64;3;13;77;-1517;0;0;0xfa13;0x0;0x0;0;0;0x0;0x0
6;64;3;14;78;-1517;32;32;0xfa13;0x20;0x20;64;0;0x40;0x0
6;64;3;15;79;-1517;-97;-766;0xfa13;0xff9f;0xfd02;-863;128;0xfca1;0x80
6;64;3;16;80;-1517;1312;-1248;0xfa13;0x520;0xfb20;64;-799;0x40;0xfce1
6;64;3;17;81;-1517;-1449;650;0xfa13;0xfa57;0x28a;-799;-735;0xfce1;0xfd21
6;64;3;18;82;-1517;-737;801;0xfa13;0xfd1f;0x321;64;-1598;0x40;0xf9c2
6;64;3;19;83;-1517;79;848;0xfa13;0x4f;0x350;927;-799;0x39f;0xfce1
6;64;3;20;84;-1517;72;-136;0xfa13;0x48;0xff78;-64;1662;0xffc0;0x67e
6;64;3;21;85;-1517;600;-1399;0xfa13;0x258;0xfa89;-799;64;0xfce1;0x40
6;64;3;22;86;-1517;-583;647;0xfa13;0xfdb9;0x287;64;735;0x40;0x2df
6;64;3;23;87;-1517;-1225;-1433;0xfa13;0xfb37;0xfa67;671;1662;0x29f;0x67e
